from,to,adult_count,child_count,adult_price,child_price,total,payment_method,created_at
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-15 08:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-15 09:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-15 10:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-15 11:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-15 12:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-15 13:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-15 14:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-15 15:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-15 16:00:00
Stop_A,Stop_B,4,0,30,15,120,CASH,2026-01-15 17:00:00
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-15 18:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-15 19:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-15 20:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-15 21:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-15 22:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-15 23:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-16 00:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-16 01:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-16 02:00:00
Stop_A,Stop_B,4,0,30,15,120,CASH,2026-01-16 03:00:00
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-16 04:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-16 05:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-16 06:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-16 07:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-16 08:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-16 09:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-16 10:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-16 11:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-16 12:00:00
Stop_A,Stop_B,4,0,30,15,120,CASH,2026-01-16 13:00:00
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-16 14:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-16 15:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-16 16:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-16 17:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-16 18:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-16 19:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-16 20:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-16 21:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-16 22:00:00
Stop_A,Stop_B,4,0,30,15,120,CASH,2026-01-16 23:00:00
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-17 00:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-17 01:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-17 02:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-17 03:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-17 04:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-17 05:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-17 06:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-17 07:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-17 08:00:00
Stop_A,Stop_B,4,0,30,15,120,CASH,2026-01-17 09:00:00
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-17 10:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-17 11:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-17 12:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-17 13:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-17 14:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-17 15:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-17 16:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-17 17:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-17 18:00:00
Stop_A,Stop_B,4,0,30,15,120,CASH,2026-01-17 19:00:00
Stop_A,Stop_B,2,0,30,15,60,CASH,2026-01-17 20:00:00
Stop_A,Stop_B,3,1,30,15,105,CARD,2026-01-17 21:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-17 22:00:00
Stop_A,Stop_B,4,2,30,15,150,CASH,2026-01-17 23:00:00
Stop_A,Stop_B,2,0,30,15,60,CARD,2026-01-18 00:00:00
Stop_A,Stop_B,5,1,30,15,165,UPI,2026-01-18 01:00:00
Stop_A,Stop_B,3,0,30,15,90,CASH,2026-01-18 02:00:00
Stop_A,Stop_B,2,2,30,15,90,CARD,2026-01-18 03:00:00
Stop_A,Stop_B,1,1,30,15,45,UPI,2026-01-18 04:00:00
