from,to,adult_count,child_count,adult_price,child_price,total,payment_method,created_at
Stop_D,Stop_B,2,1,30,15,75,CASH,2026-01-16 20:45:24
Stop_D,Stop_C,3,2,30,15,120,UPI,2026-01-15 11:42:03
Stop_D,Stop_C,2,1,25,15,65,CASH,2026-01-15 09:19:15
Stop_C,Stop_F,2,1,30,15,75,CARD,2026-01-15 15:25:46
Stop_E,Stop_D,3,2,25,15,105,CARD,2026-01-15 02:29:17
Stop_C,Stop_A,3,0,35,0,105,CASH,2026-01-17 05:09:27
Stop_C,Stop_D,3,1,30,15,105,CASH,2026-01-17 03:11:46
Stop_E,Stop_B,1,0,30,0,30,UPI,2026-01-16 20:23:43
Stop_E,Stop_F,1,2,30,15,60,UPI,2026-01-16 18:09:36
Stop_C,Stop_B,3,1,25,15,90,CARD,2026-01-16 17:25:33
Stop_D,Stop_F,2,0,30,0,60,CARD,2026-01-16 18:48:34
Stop_E,Stop_D,2,2,30,15,90,CARD,2026-01-17 11:21:21
Stop_C,Stop_B,2,2,35,15,100,UPI,2026-01-16 21:41:42
Stop_E,Stop_D,3,2,35,15,135,CARD,2026-01-16 18:56:25
Stop_A,Stop_D,1,2,30,15,60,CASH,2026-01-16 13:25:27
Stop_E,Stop_C,2,2,25,15,80,CARD,2026-01-17 23:45:29
Stop_D,Stop_F,2,0,30,0,60,CASH,2026-01-16 16:52:53
Stop_C,Stop_D,2,0,35,0,70,UPI,2026-01-17 23:03:44
Stop_E,Stop_C,1,0,35,0,35,CASH,2026-01-16 20:22:41
Stop_B,Stop_C,3,0,30,0,90,CARD,2026-01-16 01:36:35
Stop_B,Stop_D,3,1,25,15,90,UPI,2026-01-15 09:39:00
Stop_E,Stop_B,2,2,35,15,100,CASH,2026-01-15 11:31:36
Stop_A,Stop_F,1,0,25,0,25,UPI,2026-01-17 22:40:56
Stop_E,Stop_C,1,0,30,0,30,UPI,2026-01-16 21:20:46
Stop_B,Stop_F,2,2,35,15,100,UPI,2026-01-15 08:20:33
Stop_E,Stop_C,1,0,25,0,25,CARD,2026-01-15 05:55:57
Stop_D,Stop_F,2,0,30,0,60,CASH,2026-01-15 12:55:56
Stop_A,Stop_E,2,0,30,0,60,CASH,2026-01-17 15:13:20
Stop_A,Stop_D,2,0,25,0,50,CARD,2026-01-15 19:13:08
Stop_D,Stop_E,1,2,30,15,60,CASH,2026-01-16 09:19:25
Stop_D,Stop_B,1,2,30,15,60,CASH,2026-01-15 07:24:32
Stop_B,Stop_E,2,1,30,15,75,UPI,2026-01-17 08:20:55
Stop_A,Stop_D,1,1,25,15,40,UPI,2026-01-17 22:31:45
Stop_E,Stop_B,3,2,25,15,105,UPI,2026-01-15 23:56:55
Stop_B,Stop_D,2,0,25,0,50,UPI,2026-01-15 15:28:33
Stop_E,Stop_D,2,2,30,15,90,CASH,2026-01-16 07:04:01
Stop_C,Stop_F,3,0,25,0,75,CARD,2026-01-16 02:39:20
Stop_E,Stop_D,1,2,30,15,60,CARD,2026-01-15 09:53:05
Stop_E,Stop_B,3,0,25,0,75,CASH,2026-01-15 12:47:13
Stop_A,Stop_E,2,2,35,15,100,CARD,2026-01-17 13:52:36
Stop_A,Stop_E,1,1,25,15,40,CARD,2026-01-15 00:05:13
Stop_B,Stop_C,1,1,30,15,45,UPI,2026-01-15 14:12:49
Stop_B,Stop_E,3,2,35,15,135,CASH,2026-01-16 10:06:42
Stop_D,Stop_E,3,1,35,15,120,CARD,2026-01-15 07:11:59
Stop_D,Stop_F,1,1,25,15,40,UPI,2026-01-17 05:15:18
Stop_C,Stop_F,3,2,30,15,120,CASH,2026-01-15 06:48:05
Stop_C,Stop_D,3,2,35,15,135,CARD,2026-01-17 03:31:41
Stop_E,Stop_C,1,1,35,15,50,CASH,2026-01-17 16:56:08
Stop_C,Stop_E,3,2,30,15,120,CASH,2026-01-16 23:54:47
Stop_C,Stop_F,2,1,25,15,65,CARD,2026-01-17 08:37:00
Stop_C,Stop_E,1,1,35,15,50,UPI,2026-01-15 14:25:31
Stop_C,Stop_B,2,1,35,15,85,UPI,2026-01-16 20:31:01
Stop_D,Stop_C,1,1,25,15,40,CASH,2026-01-17 06:38:22
Stop_B,Stop_C,2,1,35,15,85,UPI,2026-01-17 00:28:38
Stop_B,Stop_C,3,0,35,0,105,UPI,2026-01-17 18:45:05
Stop_C,Stop_B,2,1,35,15,85,CASH,2026-01-15 03:59:38
Stop_D,Stop_C,3,2,30,15,120,UPI,2026-01-16 15:33:25
Stop_A,Stop_F,1,1,35,15,50,CASH,2026-01-15 07:30:42
Stop_A,Stop_C,1,2,25,15,55,CARD,2026-01-17 03:21:07
Stop_C,Stop_F,3,0,30,0,90,UPI,2026-01-17 00:38:26
Stop_B,Stop_F,2,2,30,15,90,UPI,2026-01-17 03:06:54
Stop_A,Stop_C,1,0,35,0,35,UPI,2026-01-16 16:35:58
Stop_B,Stop_A,2,0,35,0,70,CARD,2026-01-16 04:37:05
Stop_E,Stop_D,1,0,25,0,25,CARD,2026-01-15 16:59:14
Stop_B,Stop_A,1,1,30,15,45,CARD,2026-01-16 03:25:15
Stop_C,Stop_B,3,2,25,15,105,UPI,2026-01-15 22:06:47
Stop_B,Stop_A,3,2,25,15,105,CASH,2026-01-16 01:12:09
Stop_D,Stop_E,1,2,35,15,65,UPI,2026-01-15 21:04:18
Stop_A,Stop_C,1,1,25,15,40,CARD,2026-01-15 06:52:16
Stop_E,Stop_C,2,0,25,0,50,UPI,2026-01-15 16:55:07
Stop_E,Stop_B,3,0,25,0,75,UPI,2026-01-15 11:17:19
Stop_D,Stop_E,3,2,25,15,105,CASH,2026-01-16 21:16:24
Stop_A,Stop_B,2,0,30,0,60,CARD,2026-01-15 05:52:39
Stop_C,Stop_A,2,2,25,15,80,CASH,2026-01-17 12:47:31
Stop_C,Stop_A,3,0,35,0,105,CASH,2026-01-15 13:21:37
Stop_A,Stop_F,2,0,25,0,50,UPI,2026-01-15 12:24:26
Stop_A,Stop_C,2,0,35,0,70,CARD,2026-01-15 03:10:28
Stop_B,Stop_C,1,0,25,0,25,UPI,2026-01-17 08:24:47
Stop_B,Stop_D,3,0,25,0,75,CASH,2026-01-16 05:24:01
Stop_A,Stop_D,1,0,30,0,30,CARD,2026-01-17 02:11:04
Stop_E,Stop_A,2,0,30,0,60,CASH,2026-01-17 05:50:25
Stop_E,Stop_A,3,2,35,15,135,UPI,2026-01-17 19:36:24
Stop_C,Stop_E,2,1,25,15,65,UPI,2026-01-17 06:51:47
Stop_D,Stop_A,1,1,30,15,45,CASH,2026-01-17 21:46:43
Stop_E,Stop_C,1,0,35,0,35,CASH,2026-01-15 14:18:14
Stop_D,Stop_E,1,0,25,0,25,UPI,2026-01-16 00:23:21
Stop_B,Stop_A,3,2,30,15,120,UPI,2026-01-15 00:26:14
Stop_B,Stop_E,2,0,30,0,60,UPI,2026-01-17 13:41:02
Stop_E,Stop_F,1,1,30,15,45,CARD,2026-01-15 22:15:36
Stop_D,Stop_F,2,0,25,0,50,CASH,2026-01-15 04:15:00
Stop_B,Stop_E,3,2,35,15,135,CARD,2026-01-16 05:12:04
Stop_A,Stop_D,2,0,25,0,50,UPI,2026-01-16 07:58:28
Stop_B,Stop_C,3,1,35,15,120,CARD,2026-01-15 15:45:16
Stop_D,Stop_F,3,1,30,15,105,CARD,2026-01-17 13:01:49
Stop_C,Stop_A,1,0,30,0,30,CASH,2026-01-17 11:22:02
Stop_A,Stop_D,2,2,25,15,80,CARD,2026-01-17 12:33:59
Stop_A,Stop_F,2,0,35,0,70,CARD,2026-01-17 11:15:31
Stop_D,Stop_B,1,0,30,0,30,CASH,2026-01-15 08:56:39
Stop_B,Stop_F,2,1,35,15,85,CARD,2026-01-16 17:57:12
Stop_B,Stop_C,2,1,30,15,75,UPI,2026-01-16 02:58:09
Stop_A,Stop_B,1,1,25,15,40,UPI,2026-01-17 20:00:21
Stop_E,Stop_F,3,2,30,15,120,CASH,2026-01-17 14:56:39
Stop_B,Stop_E,3,2,25,15,105,CARD,2026-01-17 17:53:18
Stop_D,Stop_A,2,1,30,15,75,CARD,2026-01-16 05:54:33
Stop_B,Stop_C,3,1,35,15,120,UPI,2026-01-16 04:52:30
Stop_C,Stop_D,1,0,30,0,30,CASH,2026-01-17 08:23:59
Stop_B,Stop_C,1,2,35,15,65,UPI,2026-01-16 05:43:38
Stop_A,Stop_D,1,2,35,15,65,CARD,2026-01-17 05:41:25
Stop_A,Stop_D,3,1,25,15,90,UPI,2026-01-17 16:17:48
Stop_A,Stop_D,1,1,25,15,40,CARD,2026-01-17 04:32:27
Stop_E,Stop_A,3,1,35,15,120,CASH,2026-01-15 21:47:22
Stop_D,Stop_C,3,1,25,15,90,UPI,2026-01-16 10:33:18
Stop_C,Stop_A,3,2,25,15,105,UPI,2026-01-15 16:43:45
Stop_D,Stop_F,2,2,30,15,90,UPI,2026-01-15 05:03:16
Stop_E,Stop_C,3,0,30,0,90,CARD,2026-01-17 09:41:07
Stop_D,Stop_E,2,0,30,0,60,CASH,2026-01-16 17:45:43
Stop_D,Stop_A,3,1,35,15,120,CASH,2026-01-16 22:28:35
Stop_D,Stop_F,3,0,35,0,105,UPI,2026-01-16 08:50:33
Stop_D,Stop_E,2,0,35,0,70,CASH,2026-01-16 10:10:45
Stop_E,Stop_D,3,0,30,0,90,CASH,2026-01-16 08:56:16
